theme,question,qid
War_on_Terror,What rights did the ACLU say the Patriot Act violated?,503
War_on_Terror,What did Section 215 of the Patriot Act allow the FBI to search?,504
War_on_Terror,Who passed symbolic resolutions against the Patriot Act?,505
War_on_Terror,What did the ACLU violate?,506
War_on_Terror,When was Section 215 written?,507
War_on_Terror,What has governmental authority said the laws remove restrictions from?,508
War_on_Terror,What did Section 215 allow the ACLU to inspect?,509
War_on_Terror,Who sued the ACLU?,510
War_on_Terror,What terrorism-related resolution did the UN Security Council adopt in 2005?,511
War_on_Terror,What plan did the DoD release in 2005?,512
War_on_Terror,What did Resolution 1624 try to protect?,513
War_on_Terror,What year did Israel adopt Resolution 1964?,514
War_on_Terror,What did the UN Security Council decline to offer reports for?,515
War_on_Terror,What document did the Israeli Department of Defense publish?,516
War_on_Terror,Which two countries submitted annual reports?,517
War_on_Terror,What is the likely fate of the 'war on terror'?,518
War_on_Terror,What has the War on Drugs been used as an excuse for?,519
War_on_Terror,What term is appropriate for one with no identifiable enemy?,520
War_on_Terror,What flaw in the 'war on terror' name did Francis Fukuyama point out?,521
War_on_Terror,Who said the US's presence in Iraq increases resentment and terrorists?,522
War_on_Terror,What fed US hysteria about terrorism?,523
War_on_Terror,What has the 'war on terror' done to the US's international image?,524
War_on_Terror,What does Shirley Williams call terrorism instead of an enemy?,525
War_on_Terror,Who said the military presence has decreased resentment?,526
